Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse D,New York,Air,Carys Mathis,27/05/2021,24/06/2021
Warehouse F,San Jose,Air,Martina Weaver,27/05/2021,24/06/2021
Warehouse A,Birmingham,Air,Bethan Chen,20/04/2021,18/05/2021
Warehouse B,San Jose,Air,Taya Collins,28/05/2021,25/06/2021
Warehouse C,Boston,Air,India Curtis,27/05/2021,24/06/2021
Warehouse F,San Jose,Air,Conrad Dyer,30/05/2021,27/06/2021
Warehouse D,,Air,Shauna Brennan,11/04/2021,09/05/2021
Warehouse F,San Jose,Air,Meredith Vance,05/08/2020,02/09/2020
Warehouse A,Birmingham,Air,Elias Luna,10/04/2021,08/05/2021
Warehouse B,San Jose,Air,Dan Callahan,19/04/2020,17/05/2020
Warehouse C,Boston,Air,,11/04/2021,09/05/2021
Warehouse F,San Jose,Air,Kayne Chang,09/04/2021,07/05/2021
Warehouse D,New York,Air,Fay Koch,19/01/2020,16/02/2020
Warehouse F,,,Owais Lang,21/03/2021,18/04/2021
Warehouse A,Birmingham,Air,Thalia Clayton,28/05/2019,25/06/2019
Warehouse B,San Jose,Air,Sian Jenkins,26/10/2021,23/11/2021
Warehouse C,Boston,Air,Nathan Goodwin,20/04/2021,18/05/2021
Warehouse F,San Jose,Ship,Rose Mcdowell,15/03/2021,12/04/2021
Warehouse D,New York,Ship,Morgan Garcia,14/02/2021,14/03/2021
Warehouse F,San Jose,Ship,Maddison Love,30/03/2021,27/04/2021
Warehouse A,Birmingham,Ship,Donovan Cotton,24/01/2021,21/02/2021
Warehouse B,San Jose,Ship,Jim Benjamin,15/03/2021,12/04/2021
Warehouse C,Boston,Ship,Leo Wolf,31/05/2020,28/06/2020
Warehouse F,San Jose,,Sahar Kirk,06/04/2021,04/05/2021
Warehouse D,New York,Ship,Isaac Blankenship,09/02/2021,09/03/2021
Warehouse F,San Jose,Ship,Cain Tanner,31/05/2020,28/06/2020
Warehouse A,Birmingham,Ship,Stuart Owen,12/03/2021,09/04/2021
Warehouse B,San Jose,Ship,Ruqayyah Bryan,08/02/2021,08/03/2021
Warehouse C,Boston,Ship,Ellie Lozano,24/03/2021,21/04/2021
Warehouse F,San Jose,Ship,Estelle Barry,18/04/2021,16/05/2021
Warehouse D,New York,Ship,Sophia Yates,12/03/2021,09/04/2021
Warehouse F,San Jose,Ship,Zoe Mccormick,21/05/2021,18/06/2021
Warehouse A,Birmingham,Ship,,31/01/2021,28/02/2021
Warehouse B,San Jose,,Neha Lewis,25/04/2021,23/05/2021
Warehouse C,Boston,Ship,Hazel Tran,13/04/2021,11/05/2021
Warehouse F,San Jose,Ship,Floyd Whitney,04/05/2021,01/06/2021
Warehouse D,New York,Ship,Jakob Beard,16/05/2021,13/06/2021
Warehouse F,San Jose,Ship,Jazmine Baldwin,25/03/2021,22/04/2021
Warehouse A,Birmingham,Ship,Gemma Levy,27/05/2021,24/06/2021
Warehouse B,San Jose,Ship,Arjun Bell,26/04/2021,24/05/2021
Warehouse C,Boston,Ship,Louise Payne,03/04/2021,01/05/2021
Warehouse F,San Jose,Ship,Liliana Roth,15/05/2021,12/06/2021
Warehouse D,New York,Ship,Sebastian Castillo,21/03/2021,18/04/2021
Warehouse F,San Jose,Ship,Lachlan Meza,19/06/2021,17/07/2021
Warehouse A,Birmingham,Ship,Heather Grimes,16/05/2021,13/06/2021
